Designator,Mid X,Mid Y,Rotation,Layer
C1,116.305,-59.82,0.0,top
C10,88.39988,-47.22988,315.0,top
C11,89.60988,-40.89012,45.0,top
C12,79.77,-51.21,225.0,top
C13,78.71,-36.97,135.0,top
C14,75.0,-41.0,135.0,top
C15,60.5,-71.9,90.0,top
C16,64.5,-64.7,270.0,top
C17,61.4,-62.8,90.0,top
C18,61.3,-55.7,90.0,top
C19,54.85,-49.8,0.0,top
C2,120.205,-59.78,0.0,top
C20,47.65,-49.8,0.0,top
C21,61.2,-49.1,180.0,top
C22,42.2,-55.2,0.0,top
C23,81.6,-57.75,90.0,top
C24,109.0,-58.55,90.0,top
C25,74.944888,-63.0,0.0,top
C26,102.344888,-63.2,0.0,top
C27,73.5,-70.0,270.0,top
C28,87.7,-70.0,90.0,top
C29,114.0,-70.0,90.0,top
C3,90.15,-46.09,315.0,top
C30,99.9,-70.0,90.0,top
C31,112.8,-48.0,270.0,top
C32,109.6,-48.0,90.0,top
C33,97.44,-46.63,270.0,top
C34,103.35,-46.5775,90.0,top
C35,69.735,-36.0825,0.0,top
C36,111.01,-35.1,180.0,top
C37,40.13,-69.19,270.0,top
C38,113.5675,-65.63,0.0,top
C39,112.6725,-39.13,180.0,top
C4,75.82988,-47.29012,225.0,top
C5,78.55,-49.97,225.0,top
C6,77.01,-48.43,225.0,top
C7,79.89012,-35.94012,135.0,top
C8,76.85012,-38.57012,135.0,top
C9,86.02,-49.54,315.0,top
J1,50.499999,-63.75,0.0,top
J3,80.6,-70.93,0.0,top
J4,107.0,-70.915,0.0,top
J5,118.915,-42.9,90.0,top
R1,67.54,-73.31,90.0,top
R10,121.46,-35.91,0.0,top
R11,85.14,-35.82,180.0,top
R12,87.15,-34.24,180.0,top
R13,73.51,-43.34,0.0,top
R14,66.3375,-38.4025,180.0,top
R15,40.16,-65.84,90.0,top
R16,113.57,-64.14,0.0,top
R17,112.69,-37.52,180.0,top
R2,69.15,-73.3,90.0,top
R3,95.64,-73.4,90.0,top
R4,97.27,-73.4125,90.0,top
R5,83.44,-64.47,90.0,top
R6,110.9,-64.48,90.0,top
R7,51.0,-56.27,270.0,top
R8,52.5,-56.28,270.0,top
R9,121.45,-34.31,0.0,top
U1,117.1,-35.4,180.0,top
U2,82.20066,-43.55,135.0,top
U6,118.4,-54.25,270.0,top
USB-A1,55.75,-56.24,180.0,top
USB-A2,47.75,-56.25,180.0,top
USB-C1,80.2,-64.4,0.0,top
USB-C2,107.7,-64.4,0.0,top
Y1,100.39,-46.61,0.0,top
